,battery_power,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,n_cores,price_range,processor
0,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
1,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
2,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
3,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
4,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
5,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
6,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
7,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
8,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
9,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
10,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
11,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
12,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
13,5000.0,True,,True,64.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹6,999",
14,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,010",
15,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,044",
16,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹8,999",
17,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,989",
18,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,998",
19,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
20,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹8,999",
21,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
22,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹8,249",
23,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹9,999",
24,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹11,999",
25,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,999",
26,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹11,999",
27,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹9,999",
28,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹9,999",
29,5000.0,True,,True,128.0,,,,,,6144.0,17.04,17.04,True,True,True,,,"₹6,799",
30,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹11,990",
31,4500.0,True,13.0,True,256.0,,,,,,8192.0,17.02,17.02,True,True,True,,,"₹6,799",
32,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹7,699",
33,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹7,699",
34,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹6,799",
35,5000.0,True,50.0,True,256.0,,,,,,8192.0,17.25,17.25,True,True,True,,,"₹11,990",
36,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,990",
37,5000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹6,999",
38,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,010",
39,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,044",
40,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹8,999",
41,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹16,989",
42,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹16,998",
43,,True,12.0,True,128.0,,,,,,,17.02,17.02,True,True,True,,,"₹20,999",
44,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
45,800.0,True,,True,,,,,,,,4.57,4.57,True,True,True,,,"₹20,999",
46,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,249",
47,5000.0,True,,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹9,999",
48,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
49,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
50,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
51,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
52,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
53,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
54,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
55,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
56,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
57,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
58,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹6,799",
59,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
60,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹11,990",
61,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹6,999",
62,5000.0,True,,True,64.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹19,010",
63,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,044",
64,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
65,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,989",
66,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹16,998",
67,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
68,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹8,999",
69,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹20,999",
70,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹8,249",
71,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹9,999",
72,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹11,999",
73,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,999",
74,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹11,999",
75,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹9,999",
76,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹9,999",
77,5000.0,True,,True,128.0,,,,,,6144.0,17.04,17.04,True,True,True,,,"₹6,799",
78,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹11,990",
79,4500.0,True,13.0,True,256.0,,,,,,8192.0,17.02,17.02,True,True,True,,,"₹6,799",
80,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹7,699",
81,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹7,699",
82,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹6,799",
83,5000.0,True,50.0,True,256.0,,,,,,8192.0,17.25,17.25,True,True,True,,,"₹11,990",
84,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,990",
85,5000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹6,999",
86,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,010",
87,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,044",
88,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹8,999",
89,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹16,989",
90,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹16,998",
91,,True,12.0,True,128.0,,,,,,,17.02,17.02,True,True,True,,,"₹20,999",
92,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
93,800.0,True,,True,,,,,,,,4.57,4.57,True,True,True,,,"₹20,999",
94,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,249",
95,5000.0,True,,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹9,999",
96,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
97,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
98,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
99,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
100,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
101,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
102,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
103,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
104,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
105,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
106,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹6,799",
107,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
108,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹11,990",
109,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹6,999",
110,5000.0,True,,True,64.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹19,010",
111,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,044",
112,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
113,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,989",
114,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹16,998",
115,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
116,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹8,999",
117,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹20,999",
118,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹8,249",
119,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹9,999",
120,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹11,999",
121,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,999",
122,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹11,999",
123,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹9,999",
124,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹9,999",
125,5000.0,True,,True,128.0,,,,,,6144.0,17.04,17.04,True,True,True,,,"₹6,799",
126,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹11,990",
127,4500.0,True,13.0,True,256.0,,,,,,8192.0,17.02,17.02,True,True,True,,,"₹6,799",
128,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹7,699",
129,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹7,699",
130,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹6,799",
131,5000.0,True,50.0,True,256.0,,,,,,8192.0,17.25,17.25,True,True,True,,,"₹11,990",
132,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,990",
133,5000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹6,999",
134,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,010",
135,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,044",
136,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹8,999",
137,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹16,989",
138,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹16,998",
139,,True,12.0,True,128.0,,,,,,,17.02,17.02,True,True,True,,,"₹20,999",
140,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
141,800.0,True,,True,,,,,,,,4.57,4.57,True,True,True,,,"₹20,999",
142,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,249",
143,5000.0,True,,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹9,999",
144,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
145,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
146,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
147,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
148,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
149,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
150,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
151,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
152,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
153,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
154,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹6,799",
155,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
156,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹11,990",
157,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹6,999",
158,5000.0,True,,True,64.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹19,010",
159,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,044",
160,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
161,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,989",
162,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹16,998",
163,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
164,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹8,999",
165,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹20,999",
166,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹8,249",
167,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹9,999",
168,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹11,999",
169,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,999",
170,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹11,999",
171,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹9,999",
172,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹9,999",
173,5000.0,True,,True,128.0,,,,,,6144.0,17.04,17.04,True,True,True,,,"₹6,799",
174,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹11,990",
175,4500.0,True,13.0,True,256.0,,,,,,8192.0,17.02,17.02,True,True,True,,,"₹6,799",
176,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹7,699",
177,6000.0,True,,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,,"₹7,699",
178,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹6,799",
179,5000.0,True,50.0,True,256.0,,,,,,8192.0,17.25,17.25,True,True,True,,,"₹11,990",
180,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,990",
181,5000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹6,999",
182,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,010",
183,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.07,17.07,True,True,True,,,"₹19,044",
184,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹8,999",
185,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹16,989",
186,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹16,998",
187,,True,12.0,True,128.0,,,,,,,17.02,17.02,True,True,True,,,"₹20,999",
188,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,999",
189,800.0,True,,True,,,,,,,,4.57,4.57,True,True,True,,,"₹20,999",
190,6000.0,True,50.0,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹8,249",
191,5000.0,True,,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹9,999",
